ID;Nombre;Apellido;Camisola;Selección;Puesto ;Club
;Maty;RYAN;1;5;1;
;Ivan;FRANJIC;2;5;2;
;Jason;DAVIDSON;3;5;2;
;Tim;CAHILL;4;5;4;
;Mark;MILLIGAN;5;5;3;
;Matthew;SPIRANOVIC;6;5;2;
;Mathew;LECKIE;7;5;4;
;Bailey;WRIGHT;8;5;2;
;Adam;TAGGART;9;5;4;
;Ben;HALLORAN;10;5;4;
;Tommy;OAR;11;5;3;
;Mitch;LANGERAK;12;5;1;
;Oliver;BOZANIC;13;5;3;
;James;TROISI;14;5;3;
;Mile;JEDINAK;15;5;3;
;James;HOLLAND;16;5;3;
;Matthew;McKAY;17;5;3;
;Eugen;GALEKOVI;18;5;1;
;Ryan;McGOWAN;19;5;2;
;Dario;VIDOSIC;20;5;3;
;Massimo;LUONGO;21;5;3;
;Alex;WILKINSON;22;5;2;
;Mark;BRESCIANO;23;5;3;
;Claudio;BRAVO;1;6;1;
;Eugenio;MENA;2;6;2;
;Miiko;ALBORNOZ;3;6;2;
;Mauricio;ISLA;4;6;2;
;Francisco;SILVA;5;6;3;
;Carlos;CARMONA;6;6;3;
;Alexis;SANCHEZ;7;6;4;
;Arturo;VIDAL;8;6;3;
;Mauricio;PINILLA;9;6;4;
;Jorge;VALDIVIA;10;6;3;
;Eduardo;VARGAS;11;6;4;
;Cristopher;TOSELLI;12;6;1;
;Jose;ROJAS;13;6;2;
;Fabian;ORELLANA;14;6;4;
;Jean;BEAUSEJOUR;15;6;3;
;Felipe;GUTIERREZ;16;6;3;
;Gary;MEDEL;17;6;2;
;Gonzalo;JARA;18;6;2;
;Jose;FUENZALIDA;19;6;3;
;Charles;ARANGUIZ;20;6;3;
;Marcelo;DIAZ;21;6;3;
;Esteban;PAREDES;22;6;4;
;Johny;HERRERA;23;6;1;
;Iker;CASILLAS;1;7;1;
;Raul;ALBIOL;2;7;2;
;Gerard;PIQUE;3;7;2;
;Javi;MARTINEZ;4;7;3;
;;JUANFRAN;5;7;2;
;Andres;INIESTA;6;7;3;
;David;VILLA;7;7;4;
;Xavi;HERNANDEZ;8;7;3;
;Fernando;TORRES;9;7;4;
;Cesc;FABREGAS;10;7;3;
;Pedro;RODRIGUEZ;11;7;4;
;David;DE GEA;12;7;1;
;Juan;MATA;13;7;4;
;Xabi;ALONSO;14;7;3;
;Sergio;RAMOS;15;7;2;
;Sergio;BUSQUETS;16;7;3;
;;KOKE;17;7;3;
;Jordi;ALBA;18;7;2;
;Diego;COSTA;19;7;4;
;Santi;CAZORLA;20;7;3;
;David;SILVA;21;7;3;
;Cesar;AZPILICUETA;22;7;3;
;Pepe;REINA;23;7;1;
;Jasper;CILLESSEN;1;8;1;
;Ron;VLAAR;2;8;2;
;Stefan;DE VRIJ;3;8;2;
;Bruno;MARTINS INDI;4;8;2;
;Daley;BLIND;5;8;2;
;Nigel;DE JONG;6;8;3;
;Daryl;JANMAAT;7;8;2;
;Jonathan;DE GUZMAN;8;8;3;
;Robin;VAN ´PERSIE;9;8;4;
;Wesley;SNEIJDER;10;8;3;
;Arjen;ROBBEN;11;8;4;
;Paul;VERHAEGH;12;8;2;
;Joel;VELTMAN;13;8;2;
;Terrence;KONGOLO;14;8;2;
;Dirk;KUYT;15;8;4;
;Jordy;CLASIE;16;8;3;
;Jeremain;LENS;17;8;4;
;Leroy;FER;18;8;3;
;Klaas Jan;HUNTELAAR;19;8;4;
;Georgino;WIJNALDUM;20;8;3;
;Memphis;DEPAY;21;8;4;
;Michel;VORM;22;8;1;
;Tim;KRUL;23;8;1;
;David;OSPINA;1;9;1;
;Cristian;ZAPATA;2;9;2;
;Mario;YEPES;3;9;2;
;Santiago;ARIAS;4;9;2;
;Carlos;CARBONERO;5;9;3;
;Carlos;SANCHEZ;6;9;3;
;Pablo;ARMERO;7;9;2;
;Abel;AGUILAR;8;9;3;
;Teofilo;GUTIERREZ;9;9;4;
;James;RODRIGUEZ;10;9;3;
;Juan;CUADRADO;11;9;3;
;Camilo;VARGAS;12;9;1;
;Fredy;GUARIN;13;9;3;
;Victor;IBARRO;14;9;4;
;Alexander;MEJIA;15;9;3;
;Eder;BALANTA;16;9;2;
;Carlos;BACCA;17;9;4;
;Juan;ZUNIGA;18;9;2;
;Adrian;RAMOS;19;9;4;
;Juan;QUINTERO;20;9;3;
;Jackson;MARTINEZ;21;9;4;
;Frayd;MONDRAGON;22;9;1;
;Carlos;VALDES;23;9;2;
;Boubacar;BARRY;1;10;1;
;Ousmane;DIARRASSOUBA;2;10;2;
;Arthur;BOKA;3;10;2;
;Kolo;TOURRE;4;10;2;
;Didier;ZOKORA;5;10;2;
;Mathis;BOLLY;6;10;3;
;Jean Daniel;AKPA;7;10;2;
;Salomon;KALOU;8;10;4;
;Ismael;TIOTE;9;10;3;
;;GERVINHO;10;10;4;
;Didier;DROGBA;11;10;4;
;Wilfried;BONY;12;10;4;
;Konan;YA;13;10;3;
;Ismael;DIOMANDE;14;10;3;
;Max;GRADEL;15;10;3;
;Sylvain;GBOHOUO;16;10;1;
;Serge;AURIER;17;10;2;
;Constant;DJAKPA;18;10;2;
;Yaya;TOURE;19;10;3;
;Die;SEREY;20;10;3;
;Giovanni;SIO;21;10;4;
;Souleymane;BAMBA;22;10;2;
;Sayouba;MANDE;23;10;1;
;Orestis;KARNEZIS;1;11;1;
;Ioannis;MANIATIS;2;11;3;
;Georgios;TZAVELAS;3;11;2;
;Konstantinos;MANOLAS;4;11;2;
;Vangelis;MORAS;5;11;2;
;Alexandros;TZIOLIS;6;11;3;
;Georgios;SAMARAS;7;11;4;
;Panagiotis;KONE;8;11;3;
;Konstantinos;MITROGLOU;9;11;4;
;Georgios;KARAGOUNIS;10;11;3;
;Loukas;VYNTRA;11;11;2;
;Panagiotis;GLYKOS;12;11;1;
;Stefanos;KAPINO;13;11;1;
;Dimitrios;SALPINGIDIS;14;11;4;
;Vasileios;TOROSIDIS;15;11;2;
;Lazaros;CHRISTODOULOPOULOS;16;11;3;
;Theofanis;GEKAS;17;11;4;
;Ioannis;FETFATZIDIS;18;11;4;
;Sokratis;PAPASTATHOPOULOS;19;11;2;
;Jose;CHOLEVAS;20;11;2;
;Konstantinos;KATSOURANIS;21;11;3;
;Andreas;SAMARIS;22;11;3;
;Panagiotis;TACHTSIDIS;23;11;3;
;Eiji;KAWASHIMA;1;12;1;
;Atsuto;UCHIDA;2;12;2;
;Gotoku;SAKAI;3;12;2;
;Kaisuke;HONDA;4;12;4;
;Yuto;NAGATOMO;5;12;2;
;Masato;MORISHIGE;6;12;2;
;Yasuhito;ENDO;7;12;3;
;Hiroshi;KIYOTAKE;8;12;4;
;Shinji;POKAZAKI;9;12;4;
;Shinji;KAGAWA;10;12;4;
;Yoichiro;KAKITANI;11;12;4;
;Shusaku;NISHIKAWA;12;12;1;
;Yoshito;OKUBO;13;12;4;
;Toshihiro;AOYAMA;14;12;3;
;Yasuyuki;KONNO;15;12;2;
;Hotaru;YAMAGUCHI;16;12;3;
;Makoto;HASEBE;17;12;3;
;Yuya;OSAKO;18;12;4;
;Masahiko;INOHA;19;12;2;
;Manabu;SAITO;20;12;4;
;Hiroki;SAKAI;21;12;2;
;Maya;YOSHIDA;22;12;2;
;Shuichi;GONDA;23;12;1;
