ID	Nombre	Apellido	Camisola	Seleccion	Puesto	Club
1	Manuel	Neuer	1	25	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
2	Kevin	Grosskreutz	2	25	2	(SELECT ID_CLUB FROM CLUBES  WHERE NOMBRE = 'Borussia Dortmund');
3	Matthias	Ginter	3	25	2	(SELECT ID_CLUB FROM CLUBES  WHERE NOMBRE = 'SC Freiburg');
4	Benedikt	Hoewedes	4	25	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Schalke 04');
5	Mats	Hummels	5	25	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Schalke 04');
6	Sami	KHEDIRA	6	25	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real Madrid');
7	Bastian	SCHWEINSTEIGER	7	25	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
8	Mesut	OEZIL	8	25	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Arsenal FC');
9	Andre	SCHUERRLE	9	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea FC');
10	Lukas	PODOLSKI	10	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Arsenal FC');
11	Miroslav	KLOSE	11	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = ' SS Lazio');
12	Ron-Robert	ZIELER	12	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hannover 96');
13	Thomas	MUELLER	13	25	4	(SELECT ID_CLUBFROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
14	Julian	DRAXLER	14	25	3	(SELECT ID_CLUBFROM CLUBES WHERE NOMBRE = 'Borussia Dortmund');
15	Erik	DURM	15	25	3	(SELECT ID_CLUBFROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
16	Philipp	LAHM	16	25	3	(SELECT ID_CLUBFROM CLUBES WHERE NOMBRE = 'Arsenal FC');
17	Per	MERTESACKER	17	25	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
18	Toni	KROOS	18	25	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
19	Mario	GOETZE	19	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
20	Jerome	BOATENG	20	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'FC Bayern Muenchen');
21	Shkodran	MUSTAFI	21	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'UC Sampdoria');
22	Roman	WEIDENFELLER	22	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Borussia Dortmund');
23	Christoph	KRAMER	23	25	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = ' Borussia Moenchengladbach');
24	Tim	HOWARD	1	28	1	12
25	DeAndre	YEDLIN	2	28	1	13
26	Omar	GONZALEZ	3	28	2	14
27	Michael	BRADLEY	4	28	2	15
28	Matt	BESLER	5	28	2	16
29	John	BROOKS	6	28	2	18
30	DaMarcus	BEASLEY	7	28	2	13
31	Clint	DEMPSEY	8	28	3	13
32	Aron	JOHANNSSON	9	28	3	19
33	Mix	DISKERUD	10	28	3	20
34	Alejandro	BEDOYA	11	28	3	21
35	Brad	GUZAN	12	28	3	22
36	Jermaine	JONES	13	28	3	23
37	Brad	DAVIS	14	28	3	24
38	Kyle	BECKERMAN	15	28	3	25
39	Julian	GREEN	16	28	3	2
40	Jozy	ALTIDORE	17	28	3	26
41	Chris	WONDOLOWSKI	18	28	4	27
42	Graham	ZUSI	19	28	3	28
43	Geoff	CAMERON	20	28	4	29
44	Timmy	CHANDLER	21	28	4	30
45	Nick	RIMANDO	22	28	4	25
46	Fabian	JOHNSON	23	28	4	31
47	EDUARDO		1	26	1	
48	Bruno	Alves	2	26	2	
49	PEPE		3	26	2	
50	Miguel	Veloso	4	26	2	
51	Fabio	Coentrao	5	26	2	
52	WILLIAM		6	26	3	
53	Joao	MOUTINHO	7	26	3	
54	Hugo	Almeida	8	26	3	
55	VIEIRINHA		9	26	3	
56	EDER		10	26	3	
57	Rui	Patricio	11	26	3	
58	Ricardo	Costa	12	26	3	
59	Luis	Neto	13	26	3	
60	RAFA		14	26	4	
61	Raul	MEIRELES	15	26	4	
62	NANI		16	26	3	
63	VARELA		17	26	4	
64	Andre	Almeida	18	26	3	
65	Ruben	AMORIM	19	26	3	
66	Joao	PEREIRA	20	26	2	
67	BETO		21	26	3	
68	Helder	POSTIGA	22	26	4	
69	Stephen	ADAMS	1	27	1	
70	Samuel	INKOOM	2	27	2	
71	Asamoah	GYAN	3	27	2	
72	Daniel	OPARE	4	27	2	
73	Michael	ESSIEN	5	27	2	
74	Acquah	AFRIYIE	6	27	3	
75	Christian	ATSU	7	27	3	
76	Emmanuel	BADU	8	27	3	
77	Kevin Prince	BOATENG	9	27	3	
78	Andre	AYEW	10	27	3	
79	Sulley	MUNTARI	11	27	3	
80	Adam	KWARASEY	12	27	3	
81	Jordan	AYEW	13	27	4	
82	Albert	ADOMAH	14	27	4	
83	Rashid	SUMAILA	15	27	4	
84	Fatawu	DAUDA	16	27	4	
85	Mohammed	RABIU	17	27	3	
86	Majeed	WARIS	18	27	3	
87	Jonathan	MENSAH	19	27	3	
88	Kwadwo	ASAMOAH	20	27	4	
89	John	BOYE	21	27	4	
90	Mubarak	WAKASO	22	27	4	
91	Harrison	AFFUL	23	27	3	
92						
