184,Hugo,Lloris,1,19,1,1
185,Mathieu,Debuchy,2,19,2,7
186,Patrice,Evra,3,19,2,6
187,Raphaël,Varane,4,19,2,9
188,Mamadou,Sakho,5,19,2,6
189,Yohan,Cabaye,6,19,3,14
190,Rémy ,Cabella,7,19,4,8
191,Mathieu,Valbuena,8,19,3,6
192,Oliver,Giroud,9,19,4,8
193,Karim,Benzema,10,19,4,11
194,Antonie,Griezmann,11,19,4,1
195,Rio,Mavuba,12,19,3,7
196,Eliaquim,Mangala,13,19,2,8
197,Blaise,Matuidi,14,19,3,15
198,Bacary,Sagna,15,19,2,9
199,Stéphane,Ruffier,16,19,1,14
200,Lucas,Digne,17,19,2,13
201,Moussa,Sissoko,18,19,3,4
202,Paul,Pogba,19,19,3,5
203,Loïc ,Remy,20,19,4,14
204,Laurent,Koscielny,21,19,2,8
205,Morgan,Schneiderlin,22,19,3,2
206,Mickael,Landreu,23,19,1,7
207,Diego,Benaglio,1,17,1,13
208,Stephan,Lichtsteiner,2,17,2,8
209,Reto,Ziegler,3,17,2,7
210,Philippe,Senderos,4,17,2,12
211,Steve,Von Bergen,5,17,2,9
212,Michael,Lang,6,17,2,7
213,Tranquillo,Barnetta,7,17,3,10
214,Gokhan,Inler,8,17,3,4
215,Haris,Seferovic,9,17,4,8
216,Granit,Xhaka,10,17,3,10
217,Valon,Behrami,11,17,3,3
218,Yann,Sommer,12,17,1,6
219,Ricardo,Rodriguez,13,17,2,13
220,Valentin,Stocker,14,17,3,15
221,Blerim,Dzemaili,15,17,3,12
222,Gelson,Fernandes,16,17,3,11
223,Mario,Gavranovic,17,17,4,10
224,Admir,Mehmedi,18,17,4,10
225,Josip,Drmic,19,17,4,15
226,Johan,Djourou,20,17,2,6
227,Roman,BÜRKI,21,17,1,7
228,Fabian,Schaer,22,17,2,9
229,Xherdan,Shaqiri,23,17,3,13
230,Maximo ,Banguerra,1,18,1,7
231,Jorge,Guagua,2,18,2,8
232,Frickson,Erazo,3,18,2,5
233,Juan,Paredes,4,18,2,7
234,Alex,Ibarra,5,18,3,15
235,Christian,Noboa,6,18,3,10
236,Jefferson,Montero,7,18,3,11
237,Edison ,Mendez,8,18,3,7
238,Joao,Rojas,9,18,4,9
239,Walter,Ayovi,10,18,3,14
240,Felipe,Caicedo,11,18,4,10
241,Adrian,Bone,12,18,1,13
242,Enner,Valencia,13,18,4,12
243,Oswaldo,Minda,14,18,3,3
244,Michael,Arroyo,15,18,3,15
245,Antonio,Valencia,16,18,3,13
246,Jaimen,Ayovi,17,18,4,7
247,Oscar,Bagui,18,18,2,6
248,Luis,Saritama,19,18,3,10
249,Fidel,Martinez,20,18,3,9
250,Gabriel,Achilier,21,18,2,11
251,Alexander,Dominguez,22,18,1,15
252,Carlos,Gruezo,23,18,3,14
253,Luis,Lopez,1,20,1,2
254,Osman,Chavez,2,20,2,6
255,Maynor,Figueroa,3,20,2,15
256,Juan Pablo,Montes,4,20,2,10
257,Victor ,Bernardez,5,20,2,4
258,Juan Carlor,Garcia,6,20,2,14
259,Emilio,Izaguirre,7,20,3,7
260,Wilson,Palacios,8,20,3,13
261,Jerry,Palacios,9,20,3,3
262,Mario,Martinez,10,20,3,12
263,Jerry,Bengtson,11,20,4,2
264,Edder,Delgado,12,20,3,7
265,Carlos,Costly,13,20,4,1
