ID	Nombre	Apellido	Camisola	Seleccion	Puesto	Club					
369	Hugo	Lloris	1	19	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Tottenham Hotspur F. C.');					
370	Mathieu	Debuchy	2	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'VfB Sturrgart');					
371	Patrice	Evra	3	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'París Saint-Germain F. Sturrnt-Germain F. C.');					
372	Raphaël	Varane	4	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real Madrid C. Sturrid C. F.');					
373	Mamadou	Sakho	5	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'F. C. Sturrcelona');					
374	Yohan	Cabaye	6	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester United F. Sturrr United F. C.');					
375	Rémy 	Cabella	7	19	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Atlético de Sturrde Madrid');					
376	Mathieu	Valbuena	8	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'A. S. Mónaco F. Sturraco F. C.');					
377	Oliver	Giroud	9	19	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea F. Sturr. C.');					
378	Karim	Benzema	10	19	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'París Saint-Germain F. Sturrnt-Germain F. C.');					
379	Antonie	Griezmann	11	19	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'F. C. Sturrcelona');					
380	Rio	Mavuba	12	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'F. C. Bayern Sturrern Múnich');					
381	Eliaquim	Mangala	13	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea F. Sturr. C.');					
382	Blaise	Matuidi	14	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Juventus F. SturrF. C.');					
383	Bacary	Sagna	15	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'París Saint-Germain F. Sturrnt-Germain F. C.');					
384	Stéphane	Ruffier	16	19	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Olympique de Sturr de Marsella');					
385	Lucas	Digne	17	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'F. C. Sturrcelona');					
386	Moussa	Sissoko	18	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Olympique de Sturr de Marsella');					
387	Paul	Pogba	19	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'A. S. Mónaco F. Sturraco F. C.');					
388	Loïc 	Remy	20	19	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester United F. Sturrr United F. C.');					
389	Laurent	Koscielny	21	19	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Arsenal F. Sturr. C.');					
390	Morgan	Schneiderlin	22	19	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Atlético de Sturrde Madrid');					
391	Mickael	Landreu	23	19	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'París Saint-Germain F. Sturrnt-Germain F. C.');					
392	Diego	Benaglio	1	17	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Wolfsburgo');					
393	Stephan	Lichtsteiner	2	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Juventus');					
394	Reto	Ziegler	3	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sassuolo');					
395	Philippe	Senderos	4	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Valencia');					
396	Steve	Von Bergen	5	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Young Boys');					
397	Michael	Lang	6	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Grasshopper');					
398	Tranquillo	Barnetta	7	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Eintracht Frankfurt');					
399	Gokhan	Inler	8	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
400	Haris	Seferovic	9	17	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Real Sociedad');					
401	Granit	Xhaka	10	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Borussia Mönchengladbach');					
402	Valon	Behrami	11	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
403	Yann	Sommer	12	17	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Basilea');					
404	Ricardo	Rodriguez	13	17	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Wolfsburgo');					
405	Valentin	Stocker	14	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Basilea');					
406	Blerim	Dzemaili	15	17	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
